DATE,CITY,COUNTRY,TEMP_LO,TEMP_HI,RAIN,DESCRIPTION
2033-09-22,Utrecht,NLD,3.1,17.5,00000.0,Clear
2033-09-22,NYC,USA,8.7,16.5,00000.0,Clear
2033-09-23,Utrecht,NLD,5.7,13.1,00000.0,Clear
2033-09-23,NYC,USA,8.1,18.2,00000.0,Clear
2033-09-24,NYC,USA,6.6,16.4,00000.0,Clear
2033-09-24,Utrecht,NLD,0.4,16.1,00002.0,Rain
2033-09-25,NYC,USA,8.1,14.6,00000.0,Clear
2033-09-25,Utrecht,NLD,6.2,14.5,00000.0,Clear
2033-09-26,Utrecht,NLD,10.3,18.1,00000.0,Clear
2033-09-26,NYC,USA,11.3,20.3,00000.0,Sunny
2033-09-27,NYC,USA,8.8,14.9,00000.0,Clear
2033-09-27,Utrecht,NLD,5.1,19.3,00000.0,Clear
2033-09-28,Utrecht,NLD,1.3,12.2,00000.0,Clear
2033-09-28,NYC,USA,11.5,18.0,00000.0,Clear
2033-09-29,Utrecht,NLD,8.7,12.0,00002.0,Rain
2033-09-29,NYC,USA,10.5,15.0,00000.0,Clear
2033-09-30,Utrecht,NLD,5.4,13.8,00021.0,Rain
2033-09-30,NYC,USA,3.3,23.1,00000.0,Cloudy
2033-10-01,NYC,USA,13.7,21.2,00000.0,Sunny
2033-10-01,Utrecht,NLD,9.4,16.8,00000.0,Clear
2033-10-02,Utrecht,NLD,7.7,15.8,00000.0,Clear
2033-10-02,NYC,USA,4.2,24.4,00000.0,Sunny
2033-10-03,Utrecht,NLD,9.1,17.0,00000.0,Clear
2033-10-03,NYC,USA,10.2,20.6,00000.0,Cloudy
2033-10-04,Utrecht,NLD,6.5,14.4,00004.0,Rain
2033-10-04,NYC,USA,11.7,19.5,00000.0,Clear
2033-10-05,Utrecht,NLD,5.9,14.2,00003.0,Rain
2033-10-05,NYC,USA,10.5,21.2,00000.0,Sunny
2033-10-06,Utrecht,NLD,10.0,11.7,00000.0,Cloudy
2033-10-06,NYC,USA,13.1,14.6,00000.0,Clear
2033-10-07,NYC,USA,10.9,17.0,00000.0,Clear
2033-10-07,Utrecht,NLD,9.5,12.1,00001.0,Clear
2033-10-08,Utrecht,NLD,1.8,13.9,00000.0,Clear
2033-10-08,NYC,USA,7.1,17.7,00000.0,Clear
2033-10-09,Utrecht,NLD,6.2,11.7,00001.0,Cloudy
2033-10-09,NYC,USA,10.7,19.8,00000.0,Clear
2033-10-10,Utrecht,NLD,8.8,13.8,00000.0,Clear
2033-10-10,NYC,USA,13.6,15.5,00000.0,Clear
2033-10-11,Utrecht,NLD,9.6,17.8,00000.0,Clear
2033-10-11,NYC,USA,6.7,14.2,00000.0,Clear
2033-10-12,Utrecht,NLD,5.3,11.5,00000.0,Cloudy
2033-10-12,NYC,USA,13.2,16.4,00000.0,Clear
2033-10-13,Utrecht,NLD,8.1,14.1,00000.0,Clear
2033-10-13,NYC,USA,12.7,17.0,00000.0,Clear
2033-10-14,Utrecht,NLD,9.5,15.3,00001.0,Clear
2033-10-14,NYC,USA,1.7,18.1,00000.0,Clear
2033-10-15,NYC,USA,11.6,16.7,00000.0,Clear
2033-10-15,Utrecht,NLD,4.9,12.3,00000.0,Clear
2033-10-16,NYC,USA,5.1,18.1,00001.0,Clear
2033-10-16,Utrecht,NLD,4.3,10.7,00001.0,NA
2033-10-17,NYC,USA,12.7,16.2,00000.0,Clear
2033-10-17,Utrecht,NLD,9.2,15.2,00000.0,Clear
2033-10-18,Utrecht,NLD,6.9,12.6,00000.0,Clear
2033-10-18,NYC,USA,13.4,21.8,00000.0,Cloudy
2033-10-19,NYC,USA,4.9,14.6,00000.0,Clear
2033-10-19,Utrecht,NLD,7.1,13.2,00004.0,Rain
2033-10-20,Utrecht,NLD,4.3,14.1,00001.0,Clear
2033-10-20,NYC,USA,9.3,14.3,00000.0,Clear
2033-10-21,NYC,USA,12.9,16.3,00000.0,Clear
2033-10-21,Utrecht,NLD,6.1,9.5,00000.0,Cloudy
2033-10-22,NYC,USA,11.9,14.7,00000.0,Clear
2033-10-22,Utrecht,NLD,4.5,16.5,00000.0,Clear
2033-10-23,Utrecht,NLD,4.2,17.6,00004.0,Rain
2033-10-23,NYC,USA,11.8,14.9,00000.0,Clear
2033-10-24,Utrecht,NLD,4.3,13.7,00000.0,Clear
2033-10-24,NYC,USA,13.5,19.5,00000.0,Clear
2033-10-25,Utrecht,NLD,9.8,18.1,00000.0,Clear
2033-10-25,NYC,USA,9.5,16.3,00000.0,Clear
2033-10-26,Utrecht,NLD,6.5,16.7,00000.0,Clear
2033-10-26,NYC,USA,9.5,22.2,00000.0,Cloudy
2033-10-27,Utrecht,NLD,4.1,22.3,00079.0,Rain
2033-10-27,NYC,USA,11.8,15.0,00000.0,Clear
2033-10-28,Utrecht,NLD,9.2,13.6,00000.0,Clear
2033-10-28,NYC,USA,12.6,14.3,00000.0,Clear
2033-10-29,Utrecht,NLD,1.5,15.6,00000.0,Clear
2033-10-29,NYC,USA,6.9,15.1,00000.0,Clear
2033-10-30,NYC,USA,9.7,14.0,00000.0,Clear
2033-10-30,Utrecht,NLD,9.6,13.8,00001.0,NA
2033-10-31,Utrecht,NLD,9.0,18.6,00013.0,Rain
2033-10-31,NYC,USA,7.2,14.7,00000.0,Clear
2033-11-01,NYC,USA,9.7,13.7,00000.0,Clear
2033-11-01,Utrecht,NLD,7.7,20.3,00000.0,Sunny
2033-11-02,NYC,USA,12.9,18.8,00000.0,Clear
2033-11-02,Utrecht,NLD,-1.2,13.2,00021.0,Snow
2033-11-03,NYC,USA,7.8,19.8,00000.0,Clear
2033-11-03,Utrecht,NLD,5.6,12.0,00000.0,Cloudy
2033-11-04,Utrecht,NLD,5.6,13.5,00412.0,Rain
2033-11-04,NYC,USA,13.1,19.7,00000.0,Clear
2033-11-05,Utrecht,NLD,4.9,10.9,00000.0,Cloudy
2033-11-05,NYC,USA,7.6,20.6,00000.0,Cloudy
2033-11-06,NYC,USA,9.6,22.8,00000.0,Cloudy
2033-11-06,Utrecht,NLD,8.0,15.9,00000.0,Clear
2033-11-07,NYC,USA,10.7,16.5,00000.0,Clear
2033-11-07,Utrecht,NLD,4.4,11.6,00000.0,Cloudy
2033-11-08,NYC,USA,8.6,14.5,00000.0,Clear
2033-11-08,Utrecht,NLD,7.9,20.4,00002.0,Rain
2033-11-09,Edinburgh,GBR,14.4,19.9,00000.0,Clear
2033-11-09,Utrecht,NLD,5.2,16.6,00000.0,Clear
2033-11-09,NYC,USA,10.1,17.8,00000.0,Clear
2033-11-10,NYC,USA,13.5,18.0,00000.0,Clear
2033-11-10,Edinburgh,GBR,11.4,17.7,00000.0,Clear
2033-11-10,Utrecht,NLD,8.4,16.7,00000.0,Clear
2033-11-11,Edinburgh,GBR,6.5,16.8,00000.0,Clear
2033-11-11,Utrecht,NLD,9.0,10.2,00000.0,Cloudy
2033-11-11,NYC,USA,10.6,19.6,00000.0,Clear
2033-11-12,NYC,USA,12.6,14.4,00000.0,Clear
2033-11-12,Edinburgh,GBR,14.6,16.3,00000.0,Clear
2033-11-12,Utrecht,NLD,2.4,14.9,00000.0,Clear
2033-11-13,Utrecht,NLD,10.0,13.4,00000.0,Clear
2033-11-13,Edinburgh,GBR,11.8,24.3,00000.0,Sunny
2033-11-13,NYC,USA,11.1,20.8,00000.0,Cloudy
2033-11-14,Edinburgh,GBR,6.1,22.8,00000.0,Cloudy
2033-11-14,NYC,USA,12.9,14.7,00001.0,Clear
2033-11-14,Utrecht,NLD,7.3,16.6,00000.0,Clear
2033-11-15,Utrecht,NLD,5.7,17.5,00000.0,Clear
2033-11-15,NYC,USA,2.5,15.5,00000.0,Clear
2033-11-15,Edinburgh,GBR,14.8,22.8,00000.0,Cloudy
2033-11-16,Utrecht,NLD,1.0,13.2,00005.0,Rain
2033-11-16,NYC,USA,12.9,19.1,00000.0,Clear
2033-11-16,Edinburgh,GBR,12.7,19.6,00000.0,Clear
2033-11-17,Edinburgh,GBR,6.1,13.4,00000.0,Clear
2033-11-17,NYC,USA,12.4,22.4,00000.0,Cloudy
2033-11-17,Utrecht,NLD,4.2,14.2,00002.0,Rain
2033-11-18,NYC,USA,8.7,19.5,00001.0,Clear
2033-11-18,Utrecht,NLD,8.4,12.7,00000.0,Clear
2033-11-18,Edinburgh,GBR,7.5,16.4,00000.0,Clear
2033-11-19,Utrecht,NLD,2.4,10.7,00000.0,Cloudy
2033-11-19,NYC,USA,13.1,15.8,00000.0,Clear
2033-11-19,Edinburgh,GBR,10.9,17.0,00000.0,Clear
2033-11-20,Utrecht,NLD,8.4,22.4,00003.0,Rain
2033-11-20,NYC,USA,3.7,16.4,00000.0,Clear
2033-11-20,Edinburgh,GBR,15.5,22.0,00000.0,Cloudy
2033-11-21,Edinburgh,GBR,12.9,23.8,00000.0,Cloudy
2033-11-21,NYC,USA,5.1,18.8,00000.0,Clear
2033-11-21,Utrecht,NLD,6.1,12.5,01686.0,Rain
2033-11-22,NYC,USA,11.7,16.2,00000.0,Clear
2033-11-22,Utrecht,NLD,7.6,11.4,00074.0,Rain
2033-11-22,Edinburgh,GBR,11.5,20.5,00000.0,Cloudy
2033-11-23,Utrecht,NLD,9.0,23.8,00000.0,Sunny
2033-11-23,NYC,USA,7.1,14.7,00000.0,Clear
2033-11-23,Edinburgh,GBR,10.7,15.3,00000.0,Clear
2033-11-24,Utrecht,NLD,5.2,18.0,00010.0,Rain
2033-11-24,NYC,USA,13.1,23.5,00000.0,Cloudy
2033-11-24,Edinburgh,GBR,10.1,19.0,00000.0,Clear
2033-11-25,Edinburgh,GBR,10.3,17.1,00000.0,Clear
2033-11-25,NYC,USA,8.9,15.4,00000.0,Clear
2033-11-25,Utrecht,NLD,2.4,18.6,00002.0,Rain
2033-11-26,NYC,USA,10.1,17.4,00000.0,Clear
2033-11-26,Edinburgh,GBR,3.3,12.3,00000.0,Clear
2033-11-26,Utrecht,NLD,9.8,21.4,00008.0,Rain
2033-11-27,Edinburgh,GBR,11.8,14.2,00000.0,Clear
2033-11-27,Utrecht,NLD,5.3,14.3,00000.0,Clear
2033-11-27,NYC,USA,12.1,18.3,00000.0,Clear
2033-11-28,Edinburgh,GBR,14.7,19.0,00000.0,Clear
2033-11-28,Utrecht,NLD,0.7,18.2,00000.0,Clear
2033-11-28,NYC,USA,13.0,15.5,00000.0,Clear
2033-11-29,Utrecht,NLD,10.2,13.8,00002.0,Rain
2033-11-29,Edinburgh,GBR,10.4,17.6,00000.0,Clear
2033-11-29,NYC,USA,9.5,14.0,00000.0,Clear
2033-11-30,NYC,USA,12.8,20.9,00000.0,Cloudy
2033-11-30,Edinburgh,GBR,4.8,17.3,00000.0,Clear
2033-11-30,Utrecht,NLD,3.5,13.1,00013.0,Rain
2033-12-01,NYC,USA,5.2,16.8,00000.0,Clear
2033-12-01,Edinburgh,GBR,8.1,18.1,00000.0,Clear
2033-12-01,Utrecht,NLD,9.9,12.5,00029.0,Rain
2033-12-02,Edinburgh,GBR,11.0,16.2,00000.0,Clear
2033-12-02,Utrecht,NLD,4.8,10.7,00002.0,Rain
2033-12-02,NYC,USA,5.7,23.4,00000.0,Sunny
2033-12-03,Utrecht,NLD,5.4,10.6,00000.0,Cloudy
2033-12-03,NYC,USA,10.3,18.1,00000.0,Clear
2033-12-03,Edinburgh,GBR,11.8,18.4,00000.0,Clear
2033-12-04,Edinburgh,GBR,12.5,23.5,00000.0,Sunny
2033-12-04,Utrecht,NLD,7.4,20.6,00000.0,Sunny
2033-12-04,NYC,USA,12.9,19.1,00000.0,Clear
2033-12-05,NYC,USA,11.1,19.0,00000.0,Clear
2033-12-05,Utrecht,NLD,7.3,11.8,00000.0,Cloudy
2033-12-05,Edinburgh,GBR,11.1,16.0,00000.0,Clear
2033-12-06,NYC,USA,11.6,22.0,00000.0,Sunny
2033-12-06,Edinburgh,GBR,9.1,14.3,00000.0,Clear
2033-12-06,Utrecht,NLD,6.1,13.9,00023.0,Rain
2033-12-07,NYC,USA,12.6,23.1,00000.0,Sunny
2033-12-07,Edinburgh,GBR,8.8,14.4,00001.0,Clear
2033-12-07,Utrecht,NLD,8.7,21.3,00001.0,NA
2033-12-08,Utrecht,NLD,7.1,15.0,00002.0,Rain
2033-12-08,Edinburgh,GBR,1.0,15.4,00000.0,Clear
2033-12-08,NYC,USA,7.4,15.4,00000.0,Clear
2033-12-09,NYC,USA,7.4,13.8,00001.0,Clear
2033-12-09,Edinburgh,GBR,13.6,25.1,00000.0,Cloudy
2033-12-09,Utrecht,NLD,6.6,12.3,00000.0,Clear
2033-12-10,Utrecht,NLD,1.6,16.3,00000.0,Clear
2033-12-10,NYC,USA,12.9,14.5,00000.0,Clear
2033-12-10,Edinburgh,GBR,13.1,16.5,00000.0,Clear
2033-12-11,Utrecht,NLD,9.9,11.8,00018.0,Rain
2033-12-11,NYC,USA,6.0,22.7,00000.0,Cloudy
2033-12-11,Edinburgh,GBR,11.5,17.8,00000.0,Clear
2033-12-12,Utrecht,NLD,8.8,16.2,00000.0,Clear
2033-12-12,NYC,USA,8.2,15.5,00000.0,Clear
2033-12-12,Edinburgh,GBR,2.0,20.1,00000.0,Cloudy
2033-12-13,Utrecht,NLD,9.8,17.5,00001.0,NA
2033-12-13,NYC,USA,10.4,15.2,00000.0,Clear
2033-12-13,Edinburgh,GBR,8.3,13.9,00000.0,Clear
2033-12-14,NYC,USA,5.5,17.9,00000.0,Clear
2033-12-14,Edinburgh,GBR,11.0,19.2,00000.0,Clear
2033-12-14,Utrecht,NLD,6.8,13.6,00000.0,Clear
2033-12-15,Utrecht,NLD,7.3,10.7,00000.0,Cloudy
2033-12-15,NYC,USA,5.5,17.3,00000.0,Clear
2033-12-15,Edinburgh,GBR,12.8,21.8,00000.0,Cloudy
2033-12-16,NYC,USA,9.8,15.4,00000.0,Clear
2033-12-16,Utrecht,NLD,1.5,13.7,00000.0,Clear
2033-12-16,Edinburgh,GBR,9.6,22.6,00000.0,Sunny
2033-12-17,Utrecht,NLD,9.4,18.1,00000.0,Clear
2033-12-17,NYC,USA,10.9,24.1,00000.0,Cloudy
2033-12-17,Edinburgh,GBR,8.2,13.6,00000.0,Clear
2033-12-18,Edinburgh,GBR,10.5,17.8,00000.0,Clear
2033-12-18,Utrecht,NLD,5.5,11.9,00000.0,Cloudy
2033-12-18,NYC,USA,9.3,15.2,00000.0,Clear
2033-12-19,NYC,USA,9.7,16.7,00000.0,Clear
2033-12-19,Edinburgh,GBR,5.4,17.6,00000.0,Clear
2033-12-19,Utrecht,NLD,4.7,13.0,00004.0,Rain
2033-12-20,Utrecht,NLD,7.0,14.7,00000.0,Clear
2033-12-20,NYC,USA,8.2,15.8,00000.0,Clear
2033-12-20,Edinburgh,GBR,7.3,14.4,00000.0,Clear
2033-12-21,Edinburgh,GBR,13.0,15.5,00000.0,Clear
2033-12-21,NYC,USA,12.4,23.3,00000.0,Sunny
2033-12-21,Utrecht,NLD,3.8,11.2,00000.0,Cloudy
2033-12-22,NYC,USA,9.6,17.6,00000.0,Clear
2033-12-22,Edinburgh,GBR,11.1,14.7,00000.0,Clear
2033-12-22,Utrecht,NLD,-0.2,12.5,00000.0,Clear
2033-12-23,NYC,USA,8.2,19.5,00000.0,Clear
2033-12-23,Edinburgh,GBR,2.3,22.2,00000.0,Sunny
2033-12-23,Utrecht,NLD,9.8,10.8,00000.0,Cloudy
2033-12-24,Utrecht,NLD,7.3,16.8,00019.0,Rain
2033-12-24,NYC,USA,9.7,22.0,00001.0,Cloudy
2033-12-24,Edinburgh,GBR,11.6,20.0,00000.0,Cloudy
2033-12-25,NYC,USA,6.6,19.9,00001.0,Clear
2033-12-25,Utrecht,NLD,5.8,19.9,00007.0,Rain
2033-12-25,Edinburgh,GBR,13.4,20.2,00000.0,Sunny
2033-12-26,NYC,USA,12.2,18.1,00000.0,Clear
2033-12-26,Utrecht,NLD,6.5,11.9,00001.0,Cloudy
2033-12-26,Edinburgh,GBR,14.5,16.6,00000.0,Clear
2033-12-27,Edinburgh,GBR,8.8,12.7,00000.0,Clear
2033-12-27,Utrecht,NLD,6.3,20.2,00002.0,Rain
2033-12-27,NYC,USA,10.1,16.2,00000.0,Clear
2033-12-28,Edinburgh,GBR,9.8,16.4,00000.0,Clear
2033-12-28,NYC,USA,10.4,15.3,00000.0,Clear
2033-12-28,Utrecht,NLD,9.3,11.6,00005.0,Rain
2033-12-29,Utrecht,NLD,6.5,17.5,00001.0,Clear
2033-12-29,Edinburgh,GBR,6.9,15.5,00000.0,Clear
2033-12-29,NYC,USA,11.4,15.7,00000.0,Clear
2033-12-30,Edinburgh,GBR,10.7,16.9,00000.0,Clear
2033-12-30,NYC,USA,9.7,17.6,00000.0,Clear
2033-12-30,Utrecht,NLD,7.1,13.3,00000.0,Clear
2033-12-31,Utrecht,NLD,7.6,12.3,00001.0,Clear
2033-12-31,NYC,USA,13.0,20.9,00000.0,Cloudy
2033-12-31,Edinburgh,GBR,12.6,14.8,00000.0,Clear
2034-01-01,NYC,USA,12.5,14.1,00000.0,Clear
2034-01-01,Utrecht,NLD,6.2,11.8,00006.0,Rain
2034-01-01,Edinburgh,GBR,10.2,13.8,00000.0,Clear
2034-01-02,Edinburgh,GBR,9.1,18.9,00000.0,Clear
2034-01-02,NYC,USA,7.9,19.0,00000.0,Clear
2034-01-02,Utrecht,NLD,7.6,22.5,00000.0,Sunny
2034-01-03,NYC,USA,7.1,19.7,00000.0,Clear
2034-01-03,Utrecht,NLD,7.5,12.5,00000.0,Clear
2034-01-03,Edinburgh,GBR,12.1,21.5,00001.0,Cloudy
2034-01-04,NYC,USA,12.6,21.4,00000.0,Cloudy
2034-01-04,Utrecht,NLD,0.0,12.1,00004.0,Rain
2034-01-04,Edinburgh,GBR,11.0,19.7,00000.0,Clear
2034-01-05,Utrecht,NLD,5.8,11.6,00000.0,Cloudy
2034-01-05,NYC,USA,9.2,15.2,00000.0,Clear
2034-01-05,Edinburgh,GBR,7.7,13.0,00000.0,Clear
2034-01-06,Utrecht,NLD,5.9,17.5,00006.0,Rain
2034-01-06,Edinburgh,GBR,10.9,13.1,00000.0,Clear
2034-01-06,NYC,USA,9.6,16.0,00000.0,Clear
2034-01-07,Utrecht,NLD,2.9,22.5,00000.0,Sunny
2034-01-07,NYC,USA,13.2,22.0,00000.0,Cloudy
2034-01-07,Edinburgh,GBR,9.0,15.5,00000.0,Clear
2034-01-08,NYC,USA,9.2,17.4,00000.0,Clear
2034-01-08,Edinburgh,GBR,10.3,16.9,00000.0,Clear
2034-01-08,Utrecht,NLD,-1.0,13.7,00001.0,Clear
2034-01-09,Utrecht,NLD,8.4,16.6,00059.0,Rain
2034-01-09,NYC,USA,10.6,15.5,00000.0,Clear
2034-01-09,Edinburgh,GBR,9.6,23.3,00000.0,Cloudy
2034-01-10,Edinburgh,GBR,12.0,27.2,00000.0,Cloudy
2034-01-10,Utrecht,NLD,3.6,11.3,00006.0,Rain
2034-01-10,NYC,USA,13.5,24.9,00000.0,Cloudy
2034-01-11,Edinburgh,GBR,12.1,24.0,00000.0,Sunny
2034-01-11,NYC,USA,13.3,22.6,00000.0,Cloudy
2034-01-11,Utrecht,NLD,3.5,11.5,00000.0,Cloudy
2034-01-12,Edinburgh,GBR,14.2,17.5,00000.0,Clear
2034-01-12,Utrecht,NLD,6.0,18.5,00000.0,Clear
2034-01-12,NYC,USA,8.4,24.3,00000.0,Sunny
2034-01-13,Utrecht,NLD,6.8,13.7,00001.0,NA
2034-01-13,Edinburgh,GBR,14.2,22.8,00000.0,Cloudy
2034-01-13,NYC,USA,8.9,15.5,00000.0,Clear
2034-01-14,Utrecht,NLD,8.8,13.9,00000.0,Clear
2034-01-14,Edinburgh,GBR,9.4,15.4,00000.0,Clear
2034-01-14,NYC,USA,12.0,17.4,00000.0,Clear
2034-01-15,Utrecht,NLD,5.1,18.0,00070.0,Rain
2034-01-15,Edinburgh,GBR,11.0,20.0,00000.0,Cloudy
2034-01-15,NYC,USA,12.1,21.5,00000.0,Sunny
2034-01-16,Edinburgh,GBR,10.9,16.3,00000.0,Clear
2034-01-16,NYC,USA,12.3,17.8,00000.0,Clear
2034-01-16,Utrecht,NLD,6.5,17.8,00000.0,Clear
2034-01-17,NYC,USA,6.9,15.1,00000.0,Clear
2034-01-17,Utrecht,NLD,10.7,23.9,00002.0,Rain
2034-01-17,Edinburgh,GBR,9.3,24.5,00000.0,Cloudy
2034-01-18,NYC,USA,13.3,26.6,00000.0,Cloudy
2034-01-18,Utrecht,NLD,4.6,12.6,00004.0,Rain
2034-01-18,Edinburgh,GBR,12.8,22.8,00000.0,Cloudy
2034-01-19,Utrecht,NLD,10.4,20.1,00011.0,Rain
2034-01-19,Edinburgh,GBR,13.8,24.8,00000.0,Cloudy
2034-01-19,NYC,USA,5.9,17.2,00000.0,Clear
2034-01-20,Utrecht,NLD,5.4,12.9,00001.0,NA
2034-01-20,NYC,USA,10.2,17.6,00000.0,Clear
2034-01-20,Edinburgh,GBR,7.4,15.2,00000.0,Clear
2034-01-21,NYC,USA,13.6,20.2,00000.0,Cloudy
2034-01-21,Utrecht,NLD,6.0,10.7,00000.0,Cloudy
2034-01-21,Edinburgh,GBR,12.6,17.3,00000.0,Clear
2034-01-22,Utrecht,NLD,3.2,21.7,00000.0,Cloudy
2034-01-22,Edinburgh,GBR,11.6,17.0,00000.0,Clear
2034-01-22,NYC,USA,2.6,21.7,00000.0,Sunny
2034-01-23,NYC,USA,4.1,15.9,00000.0,Clear
